sentence_id,text
s001,The package arrived before noon.
s002,She forgot her notebook at the library.
s003,The orange jacket was hanging near the stairs.
s004,Please confirm the meeting before Friday.
s005,I heard thunder while walking across campus.
s006,The train stopped suddenly near the station.
s007,He placed the coffee mug beside the window.
s008,The camera battery died during the concert.
s009,We ordered soup and bread for lunch.
s010,The lights flickered when the storm began.
s011,My neighbor painted the fence bright blue.
s012,The students waited quietly outside the classroom.
s013,She found her keys under the couch cushion.
s014,The printer jammed before the final page.
s015,He carried the boxes into the garage.
s016,The movie started ten minutes after sunset.
s017,Please leave the receipt on the kitchen counter.
s018,The dog barked loudly at the mail truck.
s019,They walked through the park after dinner.
s020,The phone rang twice before I answered.
s021,She opened the window to let in fresh air.
s022,The meeting was moved to a larger room.
s023,He forgot to charge his laptop overnight.
s024,The red bicycle leaned against the brick wall.
s025,We heard music coming from the upstairs apartment.
s026,The grocery store closes early on Sunday.
s027,She folded the blanket and placed it on the chair.
s028,The bus driver waited at the corner.
s029,He spilled orange juice on the white tablecloth.
s030,The team practiced outside despite the cold weather.
s031,Please send the report before the end of the day.
s032,The old clock ticked loudly in the hallway.
s033,She wore a green sweater to the interview.
s034,The child dropped a spoon onto the floor.
s035,He checked the map before leaving the hotel.
s036,The rain made the sidewalk slippery.
s037,We watched the clouds move across the sky.
s038,The teacher wrote three examples on the board.
s039,She left her umbrella in the back seat.
s040,The cookies smelled warm and sweet.
s041,He turned off the alarm before going outside.
s042,The letter was hidden inside the blue envelope.
s043,They rented a small cabin near the lake.
s044,The microphone picked up too much background noise.
s045,She closed the book and looked at the clock.
s046,The car engine started after a few tries.
s047,We saved the extra chairs for the guests.
s048,The glass bottle rolled under the table.
s049,He spoke clearly so everyone could understand.
s050,The final question was harder than expected.